[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3842600357.39223,10/05/2021,2:02 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC714,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM189,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A1,OVEN_HW_VERSION
INFO,OVB229,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC108,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI177,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,A2481,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,5mm x 5mm,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.98,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3842601162.051,300.000610351562,967.186889648438,-3.44712184495321E-6,2.55750865504139E-8,1,10,13.3016452789307,8.00866957656532,32.3100015521049,-0.00678941162499497,-0.000958703790160748,1,2.03642039766785E-8,,,,,,,,,,,,,,,,,,,,,300,300.001220703125,967.186889648438,967.186889648438,54.8761842639,5.60701209198692,9.58905601501465,133,1,0,0,1,0.465850830078125,34.2131004333496,1,1,1,300,0,742397216,300.000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842601191.49863,300.000671386719,771.948608398438,-2.42838330786368E-6,2.42709613934425E-8,1,10,13.3016452789307,8.00865947907141,32.3100015521049,-0.00478620005611585,-0.000653046472033963,1,2.56922362454777E-8,,,,,,,,,,,,,,,,,,,,,300.000457763672,300.000885009766,771.948608398438,771.948608398438,54.8363212094193,5.60641589115729,9.58631134033203,133,1,0,0,1,0.467376708984375,34.2131004333496,1,1,1,300.000457763672,0,742397152,300.000671386719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842601218.03086,300.000442504883,616.445007324219,-1.66493856710204E-6,2.30272279413352E-8,1,10,13.3016452789307,8.00869273676333,32.3100015521049,-0.00328777198681877,-0.000405163344985515,1,3.92508964905999E-8,,,,,,,,,,,,,,,,,,,,,300.000335693359,300.000549316406,616.445007324219,616.445007324219,54.98795714215,5.60705881081672,9.58543682098389,133,1,0,0,1,0.465545654296875,34.2131004333496,1,1,1,300.000549316406,0,742397376,300.000442504883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842601452.67657,299.999389648438,492.12548828125,-1.11983180447786E-6,2.08235212939985E-8,1,10,13.3016452789307,8.00858656088331,32.3100015521049,-0.0022108230471573,-0.000275935907759164,1,2.46587984854114E-8,,,,,,,,,,,,,,,,,,,,,299.999389648438,299.999389648438,492.12548828125,492.12548828125,54.925036046352,5.60682830887312,9.57803344726563,133,1,0,0,1,0.474319458007812,34.2131004333496,1,1,1,299.999389648438,0,742397312,299.999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842601476.24588,299.999725341797,392.807342529297,-7.15511875454216E-7,2.04379041207397E-8,1,10,13.3016452789307,8.00864188560441,32.3100015521049,-0.00142423125655523,-9.73224555492681E-5,1,5.58935519691548E-8,,,,,,,,,,,,,,,,,,,,,299.999664306641,299.999786376953,392.807342529297,392.807342529297,54.955519558602,5.60649551755641,9.58760452270508,133,1,0,0,1,0.46630859375,34.7018585205078,1,1,1,299.999786376953,0,742397408,299.999725341797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842601505.09221,300.000640869141,313.558898925781,-3.91606270431476E-7,2.39871373727253E-8,1,10,13.3016452789307,8.00840297215207,32.3100015521049,-0.000785635588061673,-1.14707734659556E-5,1,5.18294793874858E-8,,,,,,,,,,,,,,,,,,,,,300.000152587891,300.001129150391,313.558898925781,313.558898925781,54.9054953333712,5.60797448830422,9.5889778137207,133,1,0,0,1,0.466156005859375,33.7243423461914,1,1,1,300.001129150391,0,742397280,300.000640869141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842601577.32505,300.000793457031,250.282806396484,-1.9429057538117E-7,1.87738965426085E-8,1,10,13.3016452789307,8.00843543127726,32.3100015521049,-0.00039072249207488,6.81653788997443E-7,1,2.89529911383746E-8,,,,,,,,,,,,,,,,,,,,,300.000793457031,300.000793457031,250.282806396484,250.282806396484,54.9441859450731,5.60712770385317,9.58866786956787,133,1,0,0,1,0.469436645507812,34.7018585205078,1,1,1,300.000793457031,0,742397472,300.000793457031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842601646.45845,300.000030517578,199.899932861328,-3.01782593437216E-8,1.87832322386433E-8,1,10,13.3016452789307,8.00831251306007,32.3100015521049,-6.80509196662186E-5,5.01093185517639E-5,1,2.99076069322065E-8,,,,,,,,,,,,,,,,,,,,,300.000030517578,300.000030517578,199.899932861328,199.899932861328,54.8777475209385,5.60812116504826,9.59432888031006,133,1,0,0,1,0.46875,34.7018585205078,1,1,1,300.000030517578,0,742397312,300.000030517578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842601713.63086,299.999969482422,159.834060668945,8.0644034972818E-8,1.86260798525974E-8,1,10,13.3016452789307,8.00840040881962,32.3100015521049,0.00015211417212194,6.80583614587444E-5,1,2.27115941618431E-8,,,,,,,,,,,,,,,,,,,,,299.999969482422,299.999969482422,159.834060668945,159.834060668945,55.0086702979097,5.60764806590849,9.596999168396,133,1,0,0,1,0.466079711914063,34.2131004333496,1,1,1,299.999969482422,0,742397408,299.999969482422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842601782.26019,300.000030517578,127.668518066406,1.642028737267E-7,1.80647016226632E-8,1,10,13.3016452789307,8.00830696984754,32.3100015521049,0.000316396505816128,9.32597929385744E-5,1,2.32156662168125E-8,,,,,,,,,,,,,,,,,,,,,300.000030517578,300.000030517578,127.668518066406,127.668518066406,54.9852214423327,5.60813620020753,9.59403228759766,133,1,0,0,1,0.466690063476562,34.2131004333496,1,1,1,300.000030517578,0,742397184,300.000030517578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842601849.08052,300.000518798828,101.980239868164,2.23448954729817E-7,1.75312263634394E-8,1,10,13.3016452789307,8.00830627469925,32.3100015521049,0.000433413425312038,0.000107498997076118,1,2.17285071687406E-8,,,,,,,,,,,,,,,,,,,,,300.000518798828,300.000518798828,101.980239868164,101.980239868164,54.9801408569577,5.60759678508458,9.58948993682861,133,1,0,0,1,0.465469360351562,34.2131004333496,1,1,1,300.000518798828,0,742397216,300.000518798828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
