Field [T],Moment (m) [muB/f.u.],Moment (m) [muB/f.u.]_lin-part,Moment (m) [muB/f.u.]_y-lin-subtract
1.2398554190000002,-0.5559664909306431,-1.1980188509050647,0.6420523599744217
1.2298509800000001,-0.5461553175612788,-1.188351992712521,0.6421966751512422
1.219847145,-0.5379793397534752,-1.1786857181391432,0.6407063783856681
1.209843833,-0.5281681663841109,-1.1690199489181237,0.6408517825340129
1.199839603,-0.5232625796994287,-1.1593532926732715,0.6360907129738428
1.189836713,-0.5052754285222608,-1.1496879312126627,0.6444125026904018
1.1798314010000002,-0.49873464627601805,-1.1400202294778472,0.6412855832018293
1.169829524,-0.49055866846821444,-1.1303558468354757,0.6397971783672614
1.159822468,-0.475841908414168,-1.1206864599486304,0.6448445515344624
1.1498203770000002,-0.4725715172910466,-1.1110218705272832,0.6384503532362366
1.139815824,-0.4627603439216823,-1.1013549021814528,0.6385945582597706
1.12981202,-0.452949170552318,-1.091688657562039,0.6387394870097212
1.1198077450000001,-0.4398676060598323,-1.082021957835627,0.6421543517757946
1.109803903,-0.43659721493671083,-1.0723556764984512,0.6357584615617404
1.099798639,-0.42678604156734656,-1.0626880211439669,0.6359019795766203
1.089794442,-0.4104340859517394,-1.0530213967855926,0.6425873108338532
1.0797917670000001,-0.4104340859517394,-1.0433562430702166,0.6329221571184772
1.069786229,-0.3989877170208144,-1.033688322961342,0.6347006059405277
1.059783073,-0.38427095696676794,-1.0240227044763985,0.6397517475096304
1.049777522,-0.3793653702820859,-1.0143547718061843,0.6349894015240984
1.039774524,-0.37282458803584295,-1.0046893059898305,0.6318647179539875
1.02976998,-0.35647263242023586,-0.9950223463403124,0.6385497139200765
1.0197657390000001,-0.349931850173993,-0.9853556794666347,0.6354238292926417
1.0097604530000002,-0.3401206768046287,-0.9756880028544986,0.63556732604987
0.9997561305,-0.3319446989968251,-0.9660212572308834,0.6340765582340583
0.9897521443,-0.32376872118902156,-0.9563548365594631,0.6325861153704415
0.9797469531999999,-0.31395754781965723,-0.9466872516451065,0.6327297038254492
0.9697431002,-0.3008759833271715,-0.9370209596791049,0.6361449763519335
0.9597385245,-0.29597039664248936,-0.9273539693992434,0.631383572756754
0.9497331222000002,-0.2861592232731251,-0.9176861804114302,0.6315269571383051
0.9397295363,-0.27634804990376083,-0.9080201465326458,0.631672096628885
0.9297244321000001,-0.26980726765751795,-0.8983526455860139,0.628545377928496
0.9197189560000001,-0.25836089872659296,-0.8886847852884415,0.6303238865618487
0.9097163973000001,-0.25018492091878936,-0.8790197439487428,0.6288348230299534
0.8997099899000001,-0.2436441386725465,-0.8693509837761214,0.6257068451035749
0.8897074403,-0.2305625741800608,-0.8596859512293605,0.6291233770492998
0.8797015166,-0.2191162052491358,-0.8500176584352006,0.6309014531860647
0.8696976229000001,-0.21257542300289292,-0.8403513271425433,0.6277759041396505
0.8596917606000001,-0.20603464075665007,-0.8306830936765571,0.624648452919907
0.8496864157,-0.18968268514104294,-0.8210153601518897,0.6313326750108467
0.8396825262000001,-0.1880474895794822,-0.8113490329175114,0.6233015433380291
0.8296767867000001,-0.1749659250869965,-0.801680918107872,0.6267149930208755
0.8196735304,-0.1651547517176322,-0.7920152027073614,0.6268604509897292
0.8096670902,-0.1635195561560715,-0.7823464108415138,0.6188268546854423
0.7996625923,-0.14585944409121576,-0.7726794957364388,0.626820051645223
0.7896585466000001,-0.13719290761494396,-0.7630130175727331,0.6258201099577891
0.779651564,-0.13294139915488612,-0.7533437016091442,0.6204023024542581
0.7696490844,-0.11969631510624433,-0.7436787367003661,0.6239824215941218
0.7596429001000001,-0.11430016975309397,-0.7340101920996588,0.6197100223465648
0.7496391895,-0.10530659416451003,-0.7243440377286393,0.6190374435641293
0.7396339084000001,-0.09614949901977003,-0.714676365851162,0.618526866831392
0.72962867,-0.08666536476271788,-0.7050087352328542,0.6183433704701363
0.7196245394,-0.0768541913933536,-0.6953421750339379,0.6184879836405843
0.7096189579000001,-0.0631185486762436,-0.6856742128928884,0.6225556642166449
0.6996140482000001,-0.057558883766937165,-0.676006899883223,0.6184480161162859
0.6896086501,-0.04938290595913359,-0.6663391149536887,0.616956208994555
0.6796042389000001,-0.03711893924742823,-0.6566722836230868,0.6195533443756586
0.6695991785000001,-0.032540391675058226,-0.6470048249985068,0.6144644333234486
0.6595933656,-0.01994938585104072,-0.6373366392656111,0.6173872534145703
