"FC, H = 100 Oe_x","FC, H = 100 Oe_y"
40.1891212463379,-12488.708939324086
39.3599300384521,-12446.579795649575
38.5022945404053,-12515.42675370799
37.6292285919189,-12482.762825065829
36.8080577850342,-12375.45473471338
35.9926872253418,-12350.92851882271
35.1501541137695,-12348.141380120125
34.2931423187256,-12432.573704292772
33.4511623382568,-12421.381781847234
32.6064033508301,-12328.777985846544
31.7534656524658,-12469.336252054174
30.9194383621216,-12258.500031912405
30.0769910812378,-12362.74876056134
29.2508192062378,-12436.233369565216
28.3567295074463,-12316.619941189976
27.5432195663452,-12274.977039295027
26.7261838912964,-12382.322293448695
25.9176549911499,-12216.155626893928
25.0389757156372,-12295.333892275175
24.2319679260254,-12326.909511244141
23.3832550048828,-12332.19879792187
22.5481004714966,-12182.144352716596
21.7299880981445,-12321.868493547314
20.8888311386108,-12196.301159334243
20.2644548416138,-12115.995569516817
20.0427179336548,-12186.053650662014
20.0057144165039,-12276.837837692476
19.9973773956299,-12125.726017838673
19.9939346313477,-12199.839500949298
19.9936714172363,-12353.53714699769
19.9915380477905,-12236.078254355165
19.9894981384277,-12085.913955243504
20.0081634521484,-12182.329826874733
19.9818868637085,-12231.640474466956
19.9306993484497,-12163.372209042658
19.8564682006836,-12177.396844498246
19.7731962203979,-12256.210357186099
19.691237449646,-12112.968737372328
19.6084976196289,-12122.576907813824
19.5272264480591,-12157.392159776015
19.4430751800537,-12248.262020988843
19.3628454208374,-12167.606522861199
19.2791528701782,-12157.10768971944
19.1953411102295,-12277.779610899648
19.1134223937988,-12047.066987322505
19.0313625335693,-12097.044000606435
18.9462795257568,-12101.390961513844
18.8646965026855,-12129.852222555684
18.7808904647827,-12200.444816959745
18.6982564926147,-12137.709493277502
18.6158456802368,-12105.52565469661
18.5334978103638,-12239.252930955234
18.4497413635254,-12074.037179804514
18.3659191131592,-12199.034718801318
18.2829647064209,-12153.431017915847
18.1982097625732,-12180.519671026988
18.1159887313843,-12262.746458947873
18.0346603393555,-12140.787303968362
17.952712059021,-11996.881993425031
17.8701362609863,-12095.609115881807
17.7879524230957,-12202.424248298246
17.7037057876587,-12170.860483933573
17.6206464767456,-12114.345993423685
17.5362529754639,-12185.455429968097
17.4551553726196,-12190.02244997065
17.3716640472412,-12070.48073371241
17.2883911132813,-12049.657011140076
17.2054109573364,-12201.449811001417
17.1219692230225,-12102.528607082499
17.0390758514404,-12086.10319596715
16.9567394256592,-12125.922880942926
16.8748826980591,-12188.787933786292
16.790753364563,-12088.060754332386
16.7088975906372,-12091.434848166511
16.6253957748413,-12103.688065743356
16.5438604354858,-12139.818873529819
16.4605722427368,-12181.61249403495
16.3752813339233,-12172.420613269265
16.2913694381714,-12026.960545898894
16.21129322052,-12075.56464094609
16.1296434402466,-12073.62505970919
16.0454301834106,-12042.692447200187
15.963240146637,-12003.916472293487
15.8809471130371,-12130.602893282668
15.7981295585632,-12053.83766178831
15.7149062156677,-12008.211698143805
15.6298565864563,-11860.019655920662
15.5480470657349,-12062.65110308059
15.4635472297668,-11942.101739957961
15.3815898895264,-12112.44723899703
15.3008584976196,-12118.478481374263
15.2173204421997,-12048.816811200211
15.1341762542725,-12038.66631168963
15.0519852638245,-12176.645522874474
14.970344543457,-12079.269696953299
14.8886251449585,-11987.143352095405
14.8013772964478,-12023.825802210356
14.7189593315125,-12118.37689243675
14.6376338005066,-11959.067128847359
14.5561647415161,-12020.684970204447
14.4721665382385,-12049.973295625266
14.3886570930481,-12149.993999386668
14.3065638542175,-12081.954442769018
14.2238492965698,-11939.770500292014
14.1406259536743,-12020.226710298983
14.060022354126,-12118.463040236746
13.9755239486694,-12127.603822374575
13.8916912078857,-11940.392076992945
13.8105311393738,-12016.375450159661
13.7293696403503,-12000.638563027655
13.6445207595825,-11978.752362015526
13.5626459121704,-11921.76157514277
13.4794335365295,-11944.073069900227
13.3968005180359,-12069.42451256255
13.3161020278931,-11927.124624384665
13.2327861785889,-11958.678260362012
13.1499514579773,-11921.74640093416
13.0666441917419,-12058.435052997691
12.9850931167603,-11909.173273206201
12.9011116027832,-11999.570236489735
12.8210096359253,-11897.959373995624
12.7367248535156,-11888.09844016904
12.6544756889343,-12040.140712637705
12.5724763870239,-11929.883815533152
12.4900560379028,-11906.346131286284
12.4072947502136,-11946.140813156313
12.3233270645142,-12026.396984220717
12.241765499115,-11691.424061136877
12.1600685119629,-11827.38905422298
12.07697057724,-11951.920724444628
11.9959807395935,-11900.096128523215
11.9126667976379,-11948.824449405709
11.829197883606,-11949.419673772436
11.7457213401794,-11926.067278938177
11.6638965606689,-11883.06264382347
11.5829668045044,-11809.015471619505
11.4992341995239,-11872.003755949772
11.4178242683411,-11894.854274372161
11.3360996246338,-11938.837837067655
11.2542843818665,-11724.929859389045
11.1709923744202,-11828.659793861745
11.0889225006104,-11899.861208345168
11.006148815155,-11885.38263308198
10.9247241020203,-11884.37634611314
10.841224193573,-11802.034675244442
10.7597985267639,-11653.405077576757
10.6768016815186,-11950.796990743362
10.5935544967651,-11841.702942571208
10.51149559021,-11699.86724400493
10.4303722381592,-11671.715097280889
10.3462042808533,-11885.737500798039
10.2666640281677,-11680.38756582024
10.1844348907471,-11816.878211828642
10.1271276473999,-11701.458944876476
10.0593872070312,-11774.858136311657
9.95792675018311,-11914.683885094228
9.86736059188843,-11905.83384908466
9.77741718292236,-11829.811421923954
9.68583297729492,-11552.827592695778
9.60245561599731,-11735.105737260648
9.52553749084473,-11834.673603845402
9.44878435134888,-11719.703204800926
9.36912345886231,-11610.752743589732
9.28846883773804,-11739.009258473025
9.20326709747314,-11844.97036756866
9.11754465103149,-11739.722323577816
9.03359985351562,-11696.398176967852
8.95117139816284,-11632.630757281515
8.86840486526489,-11829.261433606427
8.78746032714844,-11817.455412689395
8.70512533187866,-11606.361722744674
8.62267446517944,-11486.391365574545
8.54225015640259,-11578.210783525901
8.45879793167114,-11683.83299935598
8.37684535980225,-11644.931797898447
8.29438066482544,-11681.19479916884
8.21276426315308,-11579.79335609796
8.13027954101562,-11620.226382740295
8.04831075668335,-11591.463100878545
7.96688461303711,-11642.841719574923
7.88351726531982,-11580.813767405149
7.80217814445496,-11607.267671926451
7.72144174575806,-11630.796378446288
7.64121842384338,-11493.781177792613
7.5605149269104,-11443.223707612398
7.47861075401306,-11493.5230909708
7.39765310287476,-11412.414132722732
7.31535458564758,-11574.707866199076
7.23050832748413,-11390.622638814784
7.15125298500061,-11423.361305791905
7.07162427902222,-11479.25128884175
6.98965215682983,-11507.89618228105
6.90796136856079,-11556.024945294103
6.82725024223328,-11509.852938312657
6.74678826332092,-11522.18372342483
6.66455245018005,-11439.366411311292
