Magnetic Field (T),Moment (muB/f.u.),M. Std. Err. (muB/f.u.),Moment (muB/f.u.)_lin-part,Moment (muB/f.u.)_y-lin-subtract
-0.0101955703735352,0.003039581780490707,0.0002835857908703266,0.010089144778579705,-0.007049562998088998
-0.008134620666503911,0.002112190080114257,0.0003757872877410511,0.008049708119932006,-0.00593751803981775
-0.00647604598999023,0.0010212994240093958,0.00028447878892188253,0.006408446334238467,-0.005387146910229072
-0.00520144653320313,0.0004386475927257201,0.000302760896303997,0.005147151675569442,-0.004708504082843722
-0.00414766273498535,-8.530914875815031e-05,0.0003017604014205297,0.0041043677099820075,-0.004189676858740158
-0.00333064308166504,-0.0003740717029747345,0.0002927843268312888,0.003295876446885028,-0.0036699481498597628
-0.0026632877349853502,-0.0007655336996488795,0.0002886353389725089,0.002635487232281821,-0.0034010209319307004
-0.00213332901000977,-0.0008917661071670223,0.0003257045776714852,0.002111060436422613,-0.0030028265435896357
-0.0017039644241333002,-0.0010780032923345389,0.00028375895101490366,0.0016861777362897142,-0.0027641810286242532
-0.0013629261970520001,-0.0012822910162049953,0.0002892241517812685,0.001348699407761408,-0.0026309904239664034
-0.00109181299209595,-0.0014600975016273586,0.00030888206698417327,0.0010804161949569137,-0.0025405136965842724
-0.000886944770812988,-0.0015804500030834946,0.00031144022654617376,0.0008776864731927336,-0.002458136476276228
-0.000707838344573975,-0.0016500536274051663,0.0002742559632862904,0.0007004496341640955,-0.002350503261569262
-0.0005814824581146241,-0.0017127409145595732,0.00031016214041279034,0.0005754127028882105,-0.0022881536174477837
-0.000467394113540649,-0.0017596754567120313,0.00027635406807746394,0.0004625152598041893,-0.0022221907165162207
-0.00036066632270813,-0.0017706050857984642,0.00031239844617879175,0.0003569015379468716,-0.002127506623745336
-0.000291967988014221,-0.0018326229341896411,0.0002861144355433136,0.00028892030498188883,-0.00212154323917153
-0.000263752579689026,-0.0018367736147675297,0.00029711121914083896,0.0002609994207988365,-0.0020977730355663665
-0.00021590909957885704,-0.0018181167049225516,0.0003038030450260712,0.00021365535079020367,-0.0020317720557127554
-0.000186466932296753,-0.0019614688569012323,0.0002947756544285825,0.00018452051306936778,-0.0021459893699706002
-0.000153344523906708,-0.001947094941368262,0.00029973178384752434,0.00015174385012466047,-0.0020988387914929224
0.00010059400796890301,-0.001992267819162749,0.00028940902034405014,-9.954396596489337e-05,-0.0018927238531978555
0.000153344523906708,-0.002015083695350285,0.0002981357297691197,-0.00015174385012466047,-0.0018633398452256248
0.00018155990839004502,-0.002067180129889243,0.0002958486537363735,-0.00017966471071472598,-0.001887515419174517
0.000225723147392273,-0.0020917442967666624,0.00030003895440364756,-0.00022336695549948733,-0.001868377341267175
0.000326317167282105,-0.002166912670357584,0.00029312171890419266,-0.0003229109332608741,-0.0018440017370967101
0.000407283067703247,-0.0022057950966212878,0.00029873278966496787,-0.0004030316780107067,-0.0018027634186105813
0.000515237617492676,-0.0022459827037409207,0.00029975539486224405,-0.0005098593534058089,-0.0017361233503351118
0.000648954010009766,-0.0022809773361849033,0.0003026572451504677,-0.0006421799587224228,-0.0016387973774624805
0.0008096590995788571,-0.0023567365134480886,0.0002993256092652609,-0.0008012075418702782,-0.0015555289715778106
0.00103170204162598,-0.002428566404601872,0.0002890354199391602,-0.0010209327075353782,-0.0014076336970664937
0.00130281505584717,-0.002548204026284725,0.0002992952257799746,-0.001289215731595982,-0.0012589882946887432
0.00163771953582764,-0.0026102627204452173,0.00029835585466530715,-0.001620624339621343,-0.000989638380823874
0.00205113639831543,-0.002800223773445507,0.0002971514632537659,-0.0020297257853209654,-0.0007704979881245416
0.00259090919494629,-0.002987632373574888,0.0002993838614574858,-0.00256386420948245,-0.00042376816409243814
0.0032509040832519502,-0.0031932013898608486,0.0003018623509912832,-0.0032169697972308955,2.3768407370046946e-05
0.00409123191833496,-0.0034911146204920683,0.000301419308316774,-0.004048525941615902,0.0005574113211238339
0.00512538719177246,-0.003838035448472674,0.0002953446235613878,-0.005071886273111005,0.0012338508246383306
0.00643801651000977,-0.004332276059755126,0.0002891275697616418,-0.006370813821753153,0.002038537761998027
0.008076963043212891,-0.004776854714399024,0.0002881522621810557,-0.00799265235084214,0.0032157976364431155
0.0101146049499512,-0.005671100767040342,0.00028443639487098774,-0.010009024505689591,0.004337923738649248
0.012684659576416001,-0.00674223404046485,0.00027897630648227934,-0.012552251835331488,0.005810017794866638
0.0158914001464844,-0.008285464941699907,0.0002717791034831637,-0.015725519116458316,0.007440054174758409
0.0199482833862305,-0.010192704008082374,0.00027113850525041424,-0.01974005492524796,0.009547350917165588
0.0249828903198242,-0.011911502181507144,0.00025792143524563867,-0.024722108542190972,0.012810606360683829
0.031303137207031304,-0.015287004544234964,0.0002545104301057687,-0.030976382069341377,0.01568937752510641
0.0392255310058594,-0.02005174150901283,0.0002301192705056124,-0.038816078633721406,0.018764337124708576
0.04912054748535161,-0.026293703397621344,0.0002892221705666689,-0.048607806824540925,0.022314103426919585
0.0615598571777344,-0.03416074909015874,0.00020638628824735461,-0.0609172698397546,0.02675652074959586
0.0771408874511719,-0.04503346149737161,0.00018430378547332007,-0.07633565885271153,0.031302197355339914
0.09664753417968751,-0.05897144116645978,0.0001509149416446241,-0.09563868710696721,0.03666724594050743
0.121095556640625,-0.07724734057851254,0.00011680578113745002,-0.11983151096296502,0.042584170384452474
