Magnetic Field (Oe),Moment (emu/cm3),M. Std. Err. (emu/cm3),Moment (emu/cm3)_lin-part,Moment (emu/cm3)_y-lin-subtract
41.4888954162598,3.926364721047682,0.07055969798197692,-0.94227627202318,4.868640993070862
33.2328262329102,4.076014591372859,0.07025133072301395,-0.7547683132404721,4.83078290461333
26.547004699707,4.231229324583027,0.0690573036235866,-0.6029230802808585,4.834152404863885
21.3210220336914,4.321662155759084,0.06771995624152077,-0.4842330208134989,4.805895176572583
16.9905738830566,4.404933700038782,0.06768187274783435,-0.38588191990733545,4.790815619946118
13.6537961959839,4.475839643638913,0.06967995583674853,-0.3100985950441535,4.785938238683067
10.9794683456421,4.521029629730267,0.06672592983366049,-0.2493605191878306,4.770390148918096
8.91851711273193,4.6110380961742665,0.07880912379409606,-0.20255316447076352,4.81359126064503
7.09065103530884,4.628794031172022,0.06849082307148022,-0.16103953013773523,4.789833561309758
5.66761350631714,4.6488253353351325,0.06817309153116487,-0.12872017132342775,4.7775455066585595
4.75981426239014,4.6825298965523565,0.06735833743062186,-0.10810266201808824,4.7906325585704455
3.58212804794312,4.687728680245159,0.06855444553102077,-0.0813556068210649,4.769084287066224
2.98101758956909,4.68768024401935,0.06861690767287418,-0.06770346891505438,4.755383712934404
2.52711772918701,4.718450693011095,0.06738362434970957,-0.05739470884753402,4.775845401858629
2.19589352607727,4.726145226368952,0.06748455055302774,-0.04987210058865571,4.776017326957608
1.6929235458374,4.727916133117969,0.06754836386899037,-0.038448883046588826,4.766365016164557
-0.858729302883148,4.770509476159652,0.06716656766876435,0.01950305589193105,4.7510064202677205
-1.14088332653046,4.7632381554637835,0.07590513961168813,0.02591120532255036,4.737326950141233
-1.52117776870728,4.802504895313271,0.06736149435343325,0.03454827376340048,4.767956621549871
-1.76652884483337,4.805052666140221,0.06778829829606514,0.040120571965833775,4.764932094174387
-2.28176665306091,4.804784044077685,0.06639022817098744,0.05182241064510049,4.7529616334325855
-3.22636866569519,4.8305558655497425,0.0688581022712361,0.07327576711748793,4.757280098432255
-4.18323850631714,4.846917896160805,0.06690016856162163,0.09500774472707517,4.751910151433729
-5.16464376449585,4.854394979212245,0.06732018923757355,0.11729695919621148,4.737098020016033
-6.46500539779663,4.877768169486302,0.06760947078142732,0.14683016078702626,4.730938008699275
-8.14566135406494,4.907110904938145,0.06832572015948994,0.18500042811126585,4.72211047682688
-10.3660898208618,4.952381818084149,0.06838377238896895,0.2354297547297692,4.7169520633543796
-13.0894889831543,5.000639094807148,0.06607923777713594,0.29728231513489195,4.703356779672257
-16.4753360748291,5.028289405605156,0.06779242801932608,0.3741800812280696,4.654109324377086
-20.5604343414307,5.122549819388075,0.06772772240472862,0.46695891100605263,4.655590908382022
-26.0195007324219,5.1844841223049345,0.06766632308460964,0.5909426583683475,4.593541463936587
-32.7421264648438,5.306621586232026,0.06667660608811059,0.7436237709841111,4.562997815247915
-41.0104598999023,5.399306188026596,0.06739060710517734,0.9314102696812581,4.467895918345338
-51.2784080505371,5.573069627657027,0.06629340669511086,1.1646110769728322,4.408458550684195
-64.3310928344727,5.802493590173732,0.06335077523651181,1.4610575124515737,4.341436077722158
