Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Moment (emu)_lin-part,Moment (emu)_y-lin-subtract
199.899932861328,-3.01782593437216e-08,1.87832322386433e-08,-1.191200597100889e-06,1.1610223377571672e-06
159.834060668945,8.0644034972818e-08,1.86260798525974e-08,-9.524486866035364e-07,1.0330927215763543e-06
127.668518066406,1.642028737267e-07,1.80647016226632e-08,-7.607747175042154e-07,9.249775912309153e-07
101.980239868164,2.23448954729817e-07,1.75312263634394e-08,-6.076986664508767e-07,8.311476211806938e-07
81.4934158325195,2.66406708579581e-07,1.78168540542641e-08,-4.856180000161875e-07,7.520247085957685e-07
64.9812774658203,2.95957616142277e-07,1.80499578525348e-08,-3.8722242378820894e-07,6.83180039930486e-07
52.0880661010742,3.27236297334564e-07,1.72561482138655e-08,-3.103919773923727e-07,6.376282747269367e-07
41.5379638671875,3.51081970049116e-07,1.67244942113823e-08,-2.4752408193790414e-07,5.986060519870201e-07
33.2818984985352,3.75832598300459e-07,1.71575231876896e-08,-1.9832631655563692e-07,5.74158914856096e-07
26.608341217041,3.87481160517029e-07,1.69530889032763e-08,-1.5855869230126797e-07,5.46039852818297e-07
21.2596855163574,4.01852200741649e-07,1.66120160616541e-08,-1.2668613600200592e-07,5.28538336743655e-07
17.0519104003906,4.06331221371026e-07,1.64789837799507e-08,-1.0161206939847692e-07,5.079432907695029e-07
13.690598487854,4.22000014239616e-07,1.66771325887283e-08,-8.158206388550095e-08,5.03582078125117e-07
11.0040035247803,4.22836788937164e-07,1.72934019720214e-08,-6.5572686201509e-08,4.884094751386731e-07
8.79584217071533,4.28323739490906e-07,1.60529490645392e-08,-5.241428696741821e-08,4.807380264583242e-07
7.1397213935852,4.29978862330809e-07,1.64021097103691e-08,-4.254548896258283e-08,4.7252435129339184e-07
5.76575422286987,4.31487757954711e-07,1.65838338814243e-08,-3.435803991882308e-08,4.6584579787353407e-07
4.55126571655273,4.4035016783918e-07,1.67781511440979e-08,-2.7120921760805837e-08,4.6747108959998586e-07
3.61893105506897,4.37991127800316e-07,1.6885349257639e-08,-2.1565153984596833e-08,4.595562817849128e-07
3.20183372497559,4.39447029005442e-07,1.66290265396386e-08,-1.9079677468698815e-08,4.585267064741408e-07
2.67432856559753,4.42031799663891e-07,1.65771713428788e-08,-1.593628241182881e-08,4.579680820757198e-07
2.06095051765442,4.43346094441509e-07,1.69959347414373e-08,-1.228117214490705e-08,4.5562726658641604e-07
1.77879655361176,4.11930432607793e-07,4.00004203751469e-08,-1.0599821052732569e-08,4.2253025366052553e-07
-0.797391533851624,4.50761943471555e-07,1.65804265017229e-08,4.751643773218113e-09,4.460102996983369e-07
-1.07954549789429,4.50537996533576e-07,1.62623080630639e-08,6.43299486539263e-09,4.4410500166818337e-07
-1.43530476093292,4.54443371793262e-07,1.60801897207567e-08,8.552958791792584e-09,4.4589041300146944e-07
-1.93827474117279,4.54915108321463e-07,1.60486116713381e-08,1.1550149097009855e-08,4.4336495922445315e-07
-2.61299085617065,4.47807882142165e-07,1.63457335494761e-08,1.5570771953429673e-08,4.322371101887353e-07
-3.00555276870728,4.48893249988284e-07,1.59085675712792e-08,1.7910042296942454e-08,4.309832076913415e-07
-4.15870380401611,4.54983412202753e-07,1.62692848827335e-08,2.4781651417293115e-08,4.302017607854599e-07
-5.10330581665039,4.56189617709092e-07,1.61731360275209e-08,3.04105201485959e-08,4.257790975604961e-07
