Magnetic Field (Oe),Moment (muB/f.u.),M. Std. Err. (muB/f.u.),Moment (muB/f.u.)_lin-part,Moment (muB/f.u.)_y-lin-subtract
33.2818984985352,0.00185692451396419,8.477238416838767e-05,-0.000979896370463228,0.0028368208844274188
26.608341217041,0.001914478065279857,8.376230937461393e-05,-0.0007834113484774054,0.0026978894137572626
21.2596855163574,0.0019854829142603283,8.20771268664448e-05,-0.0006259345053764029,0.0026114174196367316
17.0519104003906,0.002007612988242342,8.141983714181548e-05,-0.0005020478357489829,0.0025096608239913248
13.690598487854,0.002085029810821025,8.239885647674228e-05,-0.0004030830082697335,0.0024881128190907585
11.0040035247803,0.002089164171319737,8.544373797509408e-05,-0.0003239834144368705,0.002413147585756608
8.79584217071533,0.002116274254469064,7.931487256337059e-05,-0.0002589700169487234,0.0023752442714177874
7.1397213935852,0.0021244519330124796,8.104001552724615e-05,-0.00021020997585221028,0.00233466190886469
5.76575422286987,0.002131907127920285,8.193788353959576e-05,-0.00016975719207309875,0.002301664319993384
4.55126571655273,0.0021756947776390375,8.289797186130265e-05,-0.00013399983047421488,0.0023096946081132526
3.61893105506897,0.002164039164748089,8.342761938465572e-05,-0.00010654973321232919,0.002270588897960418
3.20183372497559,0.002171232523307016,8.216117272544295e-05,-9.426941933821547e-05,0.0022655019426452315
2.67432856559753,0.0021840034325372264,8.190496507747641e-05,-7.873844260929067e-05,0.0022627418751465173
2.06095051765442,0.0021904971379852647,8.397400332442639e-05,-6.067916864907091e-05,0.0022511763066343352
1.77879655361176,0.0020352777322039718,0.00019763522775664516,-5.2371900802274756e-05,0.002087649633006247
-0.797391533851624,0.0022271375782185543,8.19210482599406e-05,2.347705825416485e-05,0.0022036605199643893
-1.07954549789429,0.0022260310947446863,8.03492795263044e-05,3.178432610096119e-05,0.002194246768643725
-1.43530476093292,0.0022453268851809977,7.944946398129306e-05,4.2258704857496643e-05,0.0022030681803235012
-1.93827474117279,0.002247657654590863,7.929344224626066e-05,5.70673089433093e-05,0.0021905903456475536
-2.61299085617065,0.002212542067017281,8.076147056962726e-05,7.69325180211073e-05,0.0021356095489961737
-3.00555276870728,0.0022179046836961983,7.860150832777835e-05,8.849045223251285e-05,0.0021294142314636855
-4.15870380401611,0.0022479951323725665,8.038375079764323e-05,0.00012244189626280962,0.002125553236109757
-5.10330581665039,0.0022539547872394623,7.990869576771437e-05,0.00015025317282665496,0.0021037016144128074
-6.47727298736572,0.002272894106522972,8.166092725464416e-05,0.00019070595660576655,0.0020821881499172054
-8.10885810852051,0.002273393371190802,7.92530609774041e-05,0.00023874361101997464,0.0020346497601708272
-10.3660898208618,0.002268841632082031,8.280476233973205e-05,0.00030520175379434417,0.001963639878287687
-13.0894889831543,0.002330225979324621,8.232944704656169e-05,0.00038538494870945606,0.001944841030615165
-16.438533782959,0.002341554610609136,8.180489128031927e-05,0.0004839886039063435,0.0018575660067027928
-20.78125,0.002403625304104423,7.936342282145705e-05,0.0006118482528749132,0.0017917770512295096
-26.0072326660156,0.002376505346468949,8.355584199029114e-05,0.0007657133169955136,0.0016107920294734356
