Magnetic Field (T),Moment (emu),M. Std. Err. (emu),Moment (emu)_lin-part,Moment (emu)_y-lin-subtract
-0.000246578001976013,7.24882917665191e-07,1.78171719775056e-08,1.510481592677825e-08,7.097781017384128e-07
-0.000301782035827637,7.30499293029531e-07,1.80732175518943e-08,1.848649135225084e-08,7.120128016772801e-07
-0.000412190103530884,7.29277784727731e-07,1.77989564442213e-08,2.5249842203195968e-08,7.040279425245351e-07
-0.000510330581665039,7.31316998956372e-07,1.79111951099311e-08,3.1261708003481847e-08,7.000552909528901e-07
-0.0006465005397796631,7.34920641405724e-07,1.76360090052802e-08,3.9603174539813776e-08,6.953174668659102e-07
-0.0008231534004211429,7.38571673846951e-07,1.79617238783176e-08,5.042453298032841e-08,6.881471408666225e-07
-0.00103170204162598,7.46333885003763e-07,1.7500342341325e-08,6.319975547355482e-08,6.831341295302082e-07
-0.0013015884399414101,7.50574827691216e-07,1.76844227260363e-08,7.973239153608685e-08,6.708424361551291e-07
-0.0016340393066406201,7.5978521249715e-07,1.75982320426918e-08,1.0009758675199243e-07,6.596876257451577e-07
-0.00205358982086182,7.69033368966485e-07,1.77912008650734e-08,1.2579831122259167e-07,6.432350577438934e-07
-0.0025970428466796903,7.74780216049226e-07,1.78577758681475e-08,1.590890259418558e-07,6.156911901073701e-07
-0.0032680786132812502,7.90768984510489e-07,1.76990597963946e-08,2.001951735039855e-07,5.905738110065035e-07
-0.00408019142150879,8.09962642019636e-07,1.76769767154488e-08,2.4994338454370856e-07,5.600192574759275e-07
-0.0051511497497558605,8.28023429837136e-07,1.77270661929845e-08,3.1554789217937275e-07,5.124755376577633e-07
-0.00643801651000977,8.20567197089292e-07,1.74569436542589e-08,3.9437846660269736e-07,4.261887304865947e-07
-0.00806469573974609,8.63577967120682e-07,1.69142872331634e-08,4.940251915342699e-07,3.6955277558641206e-07
-0.010118285369873,9.15552983260661e-07,1.73073848353067e-08,6.198234910728684e-07,2.9572949218779263e-07
-0.012690792846679701,9.76231984102243e-07,1.65093358802329e-08,7.774095352294189e-07,1.9882244887282416e-07
-0.015892626953125,1.06812186228762e-06,1.61721218732799e-08,9.735467186698196e-07,9.457514361780047e-08
-0.0199200668334961,1.18290862511759e-06,1.59209131995786e-08,1.2202586619967395e-06,-3.735003687914955e-08
-0.0249902496337891,1.33834493009407e-06,1.70170916887765e-08,1.5308467002638065e-06,-1.9250177016973643e-07
-0.031308047485351605,1.55048012175533e-06,1.75286128314399e-08,1.9178608412078556e-06,-3.6738071945252556e-07
-0.0392144897460937,1.85058837985463e-06,1.34903020560117e-08,2.4021917791956955e-06,-5.516033993410655e-07
-0.0491377197265625,2.23081595992847e-06,1.3105764216062e-08,3.0100666141481245e-06,-7.792506542196545e-07
-0.061577032470703105,2.73628406045038e-06,1.38212997256813e-08,3.7720710417537498e-06,-1.03578698130337e-06
-0.0771322937011719,3.40592716116869e-06,1.07674777346329e-08,4.724951492143798e-06,-1.3190243309751077e-06
-0.09666348266601561,4.27650169850259e-06,9.786581598937362e-09,5.9213883672133985e-06,-1.6448866687108085e-06
-0.12108575439453101,5.41146998950076e-06,2.12329945718586e-08,7.4174420135920855e-06,-2.0059720240913255e-06
-0.151720300292969,6.866878757536e-06,5.51291043131571e-09,9.29404565661033e-06,-2.4271668990743294e-06
-0.190076062011719,8.74414455504345e-06,8.731291144057091e-09,1.1643633680887718e-05,-2.8994891258442676e-06
-0.238126879882813,1.11560598988679e-05,1.52778327411501e-08,1.4587119122645117e-05,-3.431059223777217e-06
-0.29835937500000004,1.42214808673356e-05,2.38678067299474e-08,1.827682681864707e-05,-4.0553459513114696e-06
-0.373780322265625,1.81274129220306e-05,3.50509503313362e-08,2.2896945062533794e-05,-4.7695321405031926e-06
-0.468288427734375,2.30806241762974e-05,5.05142503106012e-08,2.8686299851907433e-05,-5.605675675610034e-06
-0.5866581542968751,2.93686179173552e-05,6.54992359625033e-08,3.593736408594875e-05,-6.5687461685935525e-06
-0.734990087890625,3.73208911471938e-05,8.6985593828419e-08,4.502384599042393e-05,-7.702954843230133e-06
-0.9207946289062501,4.74298381396506e-05,1.11632017268e-07,5.640581586571538e-05,-8.975977726064778e-06
-1.15357646484375,6.02489907691765e-05,1.47945706486196e-07,7.066550957219403e-05,-1.0416518803017524e-05
-1.4451764648437502,7.66403379658026e-05,1.92485636422837e-07,8.852827222316648e-05,-1.1887934257363885e-05
-1.810515625,9.74999491390756e-05,2.40692739765705e-07,0.00011090813060786026,-1.3408181468784665e-05
-2.2682427734375,0.0001242416378849,3.12763551601654e-07,0.0001389474701532838,-1.4705832268383797e-05
-2.8416470703125003,0.0001582083184651,4.27459556608264e-07,0.00017407293262970997,-1.5864614164609966e-05
-3.560016015625,0.0002014402726068,6.16325129959849e-07,0.00021807860466656386,-1.6638332059763853e-05
-4.4599730468750005,0.0002560593393067,9.75457016511867e-07,0.0002732079559878689,-1.7148616681168945e-05
-5.587447265625,0.0003250977363808,1.15759298213494e-06,0.0003422745004481633,-1.7176764067363347e-05
-6.9999484375000005,0.0004118414452172,9.02822530592172e-07,0.00042880115743521263,-1.6959712218012632e-05
-5.587521484375,0.0003248849740916,1.15317285739841e-06,0.0003422790469224963,-1.7394072830896265e-05
-4.46006015625,0.0002556617185718,9.63467361405538e-07,0.0002732132921130071,-1.7551573541207076e-05
-3.560084765625,0.0002011383201774,6.32751194790152e-07,0.00021808281613752494,-1.694449596012493e-05
-2.8417171875,0.0001579781208535,4.39035609873953e-07,0.00017407722785151402,-1.6099106998014015e-05
-2.2682978515625,0.0001239506090675,3.28898334028852e-07,0.0001389508441158151,-1.5000235048315106e-05
-1.8106001953125002,9.72331250135781e-05,2.50595530156935e-07,0.00011091331119571865,-1.368018618214055e-05
-1.4452427734375,7.63558261021864e-05,2.0685126398614e-07,8.853233413905082e-05,-1.2176508036864422e-05
-1.15361572265625,5.99748503366714e-05,1.60562323299724e-07,7.066791441782806e-05,-1.0693064081156655e-05
-0.92083876953125,4.71152068327459e-05,1.30257946592206e-07,5.640851982150289e-05,-9.29331298875699e-06
-0.735033056640625,3.69706003504034e-05,1.07676301966116e-07,4.502647815977461e-05,-8.055877809371208e-06
-0.5867255859375,2.90218112726871e-05,9.14825967623064e-08,3.5941494797168394e-05,-6.919683524481294e-06
-0.46833623046875,2.2696412367761e-05,7.42048312972162e-08,2.8689228140310065e-05,-5.992815772549067e-06
-0.373828198242188,1.77205842776925e-05,6.17027449362891e-08,2.2899877837588758e-05,-5.17929355989626e-06
-0.298412133789063,1.37934055051937e-05,5.32246770113746e-08,1.8280058703855522e-05,-4.486653198661822e-06
-0.23820046386718702,1.06974011670216e-05,4.59769614593793e-08,1.45916267126581e-05,-3.894225545636499e-06
-0.190158239746094,8.25755211303456e-06,4.04136948958642e-08,1.1648667704770896e-05,-3.391115591736336e-06
-0.151787768554687,6.37572016725784e-06,3.57864042158743e-08,9.298178611156084e-06,-2.9224584438982442e-06
-0.12115076904296901,4.88600624410577e-06,3.14495492852205e-08,7.421424665285791e-06,-2.535418421180021e-06
