Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Moment (emu)_lin-part,Moment (emu)_y-lin-subtract
81.3830108642578,7.68045052050725e-07,1.73281284894631e-08,-4.489692427749782e-07,1.2170142948257033e-06
65.1530227661133,8.14097864602577e-07,3.2141912475224e-08,-3.5943255214031056e-07,1.1735304167428876e-06
52.0144653320313,9.05853013192577e-07,1.71762560055172e-08,-2.8695049329667514e-07,1.1928035064892522e-06
41.4888954162598,9.53733622566087e-07,1.71393034383121e-08,-2.288836178557905e-07,1.1826172404218774e-06
33.2328262329102,9.90084324317424e-07,1.70643994892737e-08,-1.8333699712767683e-07,1.1734213214451008e-06
26.547004699707,1.02778675908784e-06,1.67743643366873e-08,-1.464530308156219e-07,1.1742397899034618e-06
21.3210220336914,1.04975334594466e-06,1.64495159708466e-08,-1.1762262192070292e-07,1.167375967865363e-06
16.9905738830566,1.06998042040792e-06,1.64402652998127e-08,-9.373264775509129e-08,1.1637130681630114e-06
13.6537961959839,1.08720382863811e-06,1.69256096725254e-08,-7.532449922920009e-08,1.1625283278673101e-06
10.9794683456421,1.09818070220963e-06,1.62080619862453e-08,-6.057091691331998e-08,1.15875161912295e-06
8.91851711273193,1.12004420875121e-06,1.91431302152049e-08,-4.92011764157708e-08,1.1692453851669806e-06
7.09065103530884,1.12435721414184e-06,1.66367633781779e-08,-3.9117307068106565e-08,1.1634745212099464e-06
5.66761350631714,1.12922291807958e-06,1.65595847983776e-08,-3.126677321531721e-08,1.1604896912948972e-06
4.75981426239014,1.13740992452205e-06,1.63616769535852e-08,-2.625867711750372e-08,1.1636686016395538e-06
3.58212804794312,1.13867273507495e-06,1.66522175917126e-08,-1.9761683674870764e-08,1.1584344187498208e-06
2.98101758956909,1.13866096967352e-06,1.66673899582795e-08,-1.6445511116811283e-08,1.1551064807903313e-06
2.52711772918701,1.14613526558586e-06,1.63678192726662e-08,-1.3941461752610248e-08,1.1600767273384702e-06
2.19589352607727,1.14800430621115e-06,1.63923347520832e-08,-1.2114182593487412e-08,1.1601184888046375e-06
1.6929235458374,1.14843446831502e-06,1.64078353255971e-08,-9.339425936431657e-09,1.1577738942514516e-06
-0.858729302883148,1.15878060430656e-06,1.63150951195812e-08,4.737389791429511e-09,1.1540432145151304e-06
-1.14088332653046,1.15701436415293e-06,1.84377379373771e-08,6.293961328874094e-09,1.1507204028240559e-06
-1.52117776870728,1.16655245159607e-06,1.63624437859207e-08,8.391948438498792e-09,1.1581605031575712e-06
-1.76652884483337,1.16717131786879e-06,1.64661165976057e-08,9.745487533360851e-09,1.1574258303354293e-06
-2.28176665306091,1.16710606822669e-06,1.61265183738737e-08,1.2587922657748132e-08,1.1545181455689419e-06
-3.22636866569519,1.17336617252136e-06,1.67259773321946e-08,1.77990502116734e-08,1.1555671223096866e-06
-4.18323850631714,1.17734059156694e-06,1.62503854444607e-08,2.307785623293019e-08,1.1542627353340098e-06
-5.16464376449585,1.17915681242555e-06,1.63524105667528e-08,2.8492017873555746e-08,1.1506647945519943e-06
-6.46500539779663,1.18483427720907e-06,1.64226785001626e-08,3.566578020597261e-08,1.1491684970030973e-06
