Magnetic Field (T),Moment (muB/f.u.),M. Std. Err. (muB/f.u.),Moment (muB/f.u.)_lin-part,Moment (muB/f.u.)_y-lin-subtract
0.00814811477661133,-6.182841418882384e-05,0.00028316005186201503,-0.007537957091241656,0.0074761286770528325
0.006483406829833981,0.0016253796444101966,0.0002781704560987149,-0.005997907961315754,0.007623287605725951
0.00520144653320313,0.0026266684229269946,0.0002748046637604301,-0.004811945076205585,0.00743861349913258
0.00414888954162598,0.003567266166534075,0.0002718357820710533,-0.003838207020702317,0.007405473187236392
0.00333309669494629,0.004208716201068419,0.00027310181715162386,-0.003083503430705659,0.007292219631774079
0.0026632877349853502,0.004779264420290477,0.00026952673124649914,-0.0024638519729221252,0.007243116393212603
0.0021259685516357403,0.005268611246100651,0.00026453017569579956,-0.001966769020676966,0.007235380266777617
0.0016990573883056603,0.0056951683650812365,0.0002688574748878784,-0.0015718263720791105,0.007266994737160347
0.00136169939041138,0.005844325608421371,0.0002661990113707924,-0.0012597308527801216,0.007104056461201493
0.00109058628082275,0.006152652406229205,0.00026460365901288894,-0.0010089195862503066,0.007161571992479512
0.0008771306991577151,0.006388224450297493,0.000272570429218576,-0.0008114482619513835,0.007199672712248877
0.000693117237091064,0.006489158091112011,0.00026485111249436466,-0.0006412143343132034,0.007130372425425214
0.0005753486633300781,0.006657474737074634,0.0002601279791304952,-0.0005322646594442107,0.007189739396518844
0.00046616735458374,0.0067271032591070794,0.00027122937395276996,-0.0004312592068875178,0.007158362465994597
0.00037538740634918203,0.006870031194900314,0.0002768725449693244,-0.0003472771603285438,0.007217308355228858
0.000323863649368286,0.006957878242957078,0.00026366406574894393,-0.00029961167205923403,0.007257489915016312
0.000263752579689026,0.006968716659316199,0.0002683774116881596,-0.00024400191736462202,0.007212718576680821
0.00021468234062194802,0.007046667514528251,0.000270292170785296,-0.00019860621950254124,0.007245273734030792
0.000164385330677032,0.007138094017936481,0.00025533320508040904,-0.00015207561540859542,0.007290169633345076
-7.48321294784546e-05,0.007219082614338142,0.0002601701395444298,6.922845302498586e-05,0.007149854161313156
