#RUN ON SOFTWARE VERSION:,,,,,,,
1.2,,,,,,,
#FIELD CONFIGURATIONS,,,,,,,
Magnet: EM7-CSB,,,,,,,
Power supply: LS648,,,,,,,
Magnet mode: High field,,,,,,,
Head amplitude: 100%,,,,,,,
Gap settings: Gap 2 - RT B,,,,,,,
Coil set name: LC86,,,,,,,
Coil set serial number: A1302,,,,,,,
Coil set balance number: 0.2,,,,,,,
Moment X calibration value: -24.9684255428087 emu/volt,,,,,,,
Moment X calibration field: 5000 Oe,,,,,,,
Moment X calibration expected moment: 6.92 emu,,,,,,,
Moment X calibration standard ID: ,,,,,,,
Moment X calibration comments: by Andrea,,,,,,,
#SAMPLE SETTINGS,,,,,,,
ID: Sample1,,,,,,,
Volume: 1.00000 cm,,,,,,,
Area: 1.00000 cm,,,,,,,
Mass: 1.00000 g,,,,,,,
Demagnetization factor: 0.00000 in CGS,,,,,,,
#HYSTERESIS MEASUREMENT,,,,,,,
#ACQUISITION SETUP,,,,,,,
Max field: 20 kOe,,,,,,,
Field step size: 100 Oe,,,,,,,
Include initial curve: False,,,,,,,
Averaging time: 2 s,,,,,,,
2,0,0,12598.63229,-3.52E-05,149.2,GOOD,GOOD
2,0,0,12498.58974,-3.43E-05,151.2,GOOD,GOOD
2,0,0,12398.55419,-3.40E-05,153.2,GOOD,GOOD
2,0,0,12298.5098,-3.34E-05,155.2,GOOD,GOOD
2,0,0,12198.47145,-3.29E-05,157.2,GOOD,GOOD
2,0,0,12098.43833,-3.23E-05,159.2,GOOD,GOOD
2,0,0,11998.39603,-3.20E-05,161.2,GOOD,GOOD
2,0,0,11898.36713,-3.09E-05,163.2,GOOD,GOOD
2,0,0,11798.31401,-3.05E-05,165.2,GOOD,GOOD
2,0,0,11698.29524,-3.00E-05,167.2,GOOD,GOOD
2,0,0,11598.22468,-2.91E-05,169.2,GOOD,GOOD
2,0,0,11498.20377,-2.89E-05,171.2,GOOD,GOOD
2,0,0,11398.15824,-2.83E-05,173.2,GOOD,GOOD
2,0,0,11298.1202,-2.77E-05,175.2,GOOD,GOOD
2,0,0,11198.07745,-2.69E-05,177.2,GOOD,GOOD
2,0,0,11098.03903,-2.67E-05,179.2,GOOD,GOOD
2,0,0,10997.98639,-2.61E-05,181.2,GOOD,GOOD
2,0,0,10897.94442,-2.51E-05,183.2,GOOD,GOOD
2,0,0,10797.91767,-2.51E-05,185.2,GOOD,GOOD
2,0,0,10697.86229,-2.44E-05,187.2,GOOD,GOOD
2,0,0,10597.83073,-2.35E-05,189.2,GOOD,GOOD
2,0,0,10497.77522,-2.32E-05,191.2,GOOD,GOOD
2,0,0,10397.74524,-2.28E-05,193.2,GOOD,GOOD
2,0,0,10297.6998,-2.18E-05,195.2,GOOD,GOOD
2,0,0,10197.65739,-2.14E-05,197.2,GOOD,GOOD
2,0,0,10097.60453,-2.08E-05,199.2,GOOD,GOOD
2,0,0,9997.561305,-2.03E-05,201.2,GOOD,GOOD
2,0,0,9897.521443,-1.98E-05,203.2,GOOD,GOOD
2,0,0,9797.469532,-1.92E-05,205.2,GOOD,GOOD
2,0,0,9697.431002,-1.84E-05,207.2,GOOD,GOOD
2,0,0,9597.385245,-1.81E-05,209.2,GOOD,GOOD
2,0,0,9497.331222,-1.75E-05,211.2,GOOD,GOOD
2,0,0,9397.295363,-1.69E-05,213.2,GOOD,GOOD
2,0,0,9297.244321,-1.65E-05,215.2,GOOD,GOOD
2,0,0,9197.18956,-1.58E-05,217.2,GOOD,GOOD
2,0,0,9097.163973,-1.53E-05,219.2,GOOD,GOOD
2,0,0,8997.099899,-1.49E-05,221.2,GOOD,GOOD
2,0,0,8897.074403,-1.41E-05,223.2,GOOD,GOOD
2,0,0,8797.015166,-1.34E-05,225.2,GOOD,GOOD
2,0,0,8696.976229,-1.30E-05,227.2,GOOD,GOOD
2,0,0,8596.917606,-1.26E-05,229.2,GOOD,GOOD
2,0,0,8496.864157,-1.16E-05,231.2,GOOD,GOOD
